20230424_baseline_2 Sap_UP H2O_to 3200 nm-3 - RawData
Wavelength nm.,Abs.
200.00,0.331
201.00,0.335
202.00,0.336
203.00,0.339
204.00,0.347
205.00,0.353
206.00,0.355
207.00,0.356
208.00,0.345
209.00,0.332
210.00,0.316
211.00,0.296
212.00,0.277
213.00,0.250
214.00,0.223
215.00,0.200
216.00,0.175
217.00,0.153
218.00,0.132
219.00,0.110
220.00,0.091
221.00,0.077
222.00,0.067
223.00,0.056
224.00,0.049
225.00,0.045
226.00,0.041
227.00,0.038
228.00,0.034
229.00,0.031
230.00,0.030
231.00,0.030
232.00,0.029
233.00,0.027
234.00,0.027
235.00,0.026
236.00,0.025
237.00,0.025
238.00,0.024
239.00,0.024
240.00,0.024
241.00,0.022
242.00,0.021
243.00,0.022
244.00,0.022
245.00,0.022
246.00,0.022
247.00,0.022
248.00,0.021
249.00,0.021
250.00,0.022
251.00,0.024
252.00,0.023
253.00,0.022
254.00,0.023
255.00,0.022
256.00,0.022
257.00,0.021
258.00,0.021
259.00,0.020
260.00,0.020
261.00,0.021
262.00,0.021
263.00,0.020
264.00,0.019
265.00,0.019
266.00,0.020
267.00,0.020
268.00,0.020
269.00,0.019
270.00,0.018
271.00,0.018
272.00,0.019
273.00,0.018
274.00,0.018
275.00,0.019
276.00,0.018
277.00,0.016
278.00,0.017
279.00,0.018
280.00,0.018
281.00,0.018
282.00,0.018
283.00,0.018
284.00,0.017
285.00,0.018
286.00,0.018
287.00,0.017
288.00,0.016
289.00,0.017
290.00,0.016
291.00,0.017
292.00,0.017
293.00,0.016
294.00,0.016
295.00,0.016
296.00,0.017
297.00,0.017
298.00,0.016
299.00,0.016
300.00,0.016
301.00,0.016
302.00,0.016
303.00,0.016
304.00,0.016
305.00,0.017
306.00,0.017
307.00,0.015
308.00,0.016
309.00,0.017
310.00,0.017
311.00,0.018
312.00,0.017
313.00,0.017
314.00,0.017
315.00,0.016
316.00,0.015
317.00,0.016
318.00,0.017
319.00,0.016
320.00,0.015
321.00,0.015
322.00,0.015
323.00,0.015
324.00,0.016
325.00,0.016
326.00,0.014
327.00,0.015
328.00,0.016
329.00,0.016
330.00,0.016
331.00,0.016
332.00,0.016
333.00,0.015
334.00,0.015
335.00,0.015
336.00,0.015
337.00,0.015
338.00,0.015
339.00,0.015
340.00,0.015
341.00,0.015
342.00,0.016
343.00,0.017
344.00,0.016
345.00,0.016
346.00,0.015
347.00,0.015
348.00,0.015
349.00,0.015
350.00,0.015
351.00,0.014
352.00,0.014
353.00,0.013
354.00,0.013
355.00,0.013
356.00,0.013
357.00,0.014
358.00,0.019
359.00,0.021
360.00,0.016
361.00,0.016
362.00,0.018
363.00,0.020
364.00,0.023
365.00,0.018
366.00,0.012
367.00,0.011
368.00,0.015
369.00,0.017
370.00,0.018
371.00,0.019
372.00,0.020
373.00,0.020
374.00,0.016
375.00,0.019
376.00,0.023
377.00,0.019
378.00,0.012
379.00,0.009
380.00,0.013
381.00,0.017
382.00,0.017
383.00,0.019
384.00,0.019
385.00,0.016
386.00,0.016
387.00,0.019
388.00,0.019
389.00,0.019
390.00,0.019
391.00,0.019
392.00,0.019
393.00,0.019
394.00,0.018
395.00,0.019
396.00,0.018
397.00,0.017
398.00,0.018
399.00,0.018
400.00,0.018
401.00,0.018
402.00,0.017
403.00,0.017
404.00,0.018
405.00,0.019
406.00,0.019
407.00,0.018
408.00,0.018
409.00,0.019
410.00,0.019
411.00,0.018
412.00,0.016
413.00,0.017
414.00,0.019
415.00,0.018
416.00,0.017
417.00,0.017
418.00,0.018
419.00,0.017
420.00,0.016
421.00,0.016
422.00,0.017
423.00,0.017
424.00,0.017
425.00,0.017
426.00,0.018
427.00,0.020
428.00,0.019
429.00,0.018
430.00,0.016
431.00,0.018
432.00,0.020
433.00,0.020
434.00,0.020
435.00,0.019
436.00,0.019
437.00,0.019
438.00,0.018
