20230424_F3_PCT-C3-SO3Na 2 mgml_H2SO4 0p01 N-2 - RawData
Wavelength nm.,Abs.
200.00,0.664
201.00,0.681
202.00,0.674
203.00,0.663
204.00,0.659
205.00,0.645
206.00,0.636
207.00,0.634
208.00,0.611
209.00,0.586
210.00,0.571
211.00,0.547
212.00,0.513
213.00,0.478
214.00,0.448
215.00,0.421
216.00,0.395
217.00,0.367
218.00,0.339
219.00,0.317
220.00,0.298
221.00,0.278
222.00,0.261
223.00,0.248
224.00,0.238
225.00,0.230
226.00,0.222
227.00,0.214
228.00,0.208
229.00,0.201
230.00,0.195
231.00,0.190
232.00,0.185
233.00,0.180
234.00,0.175
235.00,0.171
236.00,0.166
237.00,0.162
238.00,0.156
239.00,0.152
240.00,0.148
241.00,0.143
242.00,0.141
243.00,0.138
244.00,0.134
245.00,0.132
246.00,0.131
247.00,0.130
248.00,0.128
249.00,0.127
250.00,0.125
251.00,0.124
252.00,0.124
253.00,0.123
254.00,0.122
255.00,0.122
256.00,0.121
257.00,0.120
258.00,0.119
259.00,0.118
260.00,0.118
261.00,0.119
262.00,0.118
263.00,0.117
264.00,0.116
265.00,0.115
266.00,0.116
267.00,0.116
268.00,0.115
269.00,0.115
270.00,0.114
271.00,0.114
272.00,0.115
273.00,0.114
274.00,0.113
275.00,0.113
276.00,0.112
277.00,0.110
278.00,0.109
279.00,0.108
280.00,0.107
281.00,0.106
282.00,0.104
283.00,0.102
284.00,0.100
285.00,0.099
286.00,0.098
287.00,0.096
288.00,0.093
289.00,0.091
290.00,0.089
291.00,0.087
292.00,0.085
293.00,0.084
294.00,0.083
295.00,0.081
296.00,0.080
297.00,0.079
298.00,0.077
299.00,0.076
300.00,0.074
301.00,0.071
302.00,0.069
303.00,0.069
304.00,0.069
305.00,0.068
306.00,0.066
307.00,0.065
308.00,0.064
309.00,0.063
310.00,0.063
311.00,0.061
312.00,0.060
313.00,0.059
314.00,0.058
315.00,0.056
316.00,0.057
317.00,0.059
318.00,0.057
319.00,0.055
320.00,0.055
321.00,0.055
322.00,0.054
323.00,0.054
324.00,0.054
325.00,0.054
326.00,0.053
327.00,0.053
328.00,0.053
329.00,0.053
330.00,0.053
331.00,0.053
332.00,0.052
333.00,0.051
334.00,0.051
335.00,0.053
336.00,0.053
337.00,0.053
338.00,0.052
339.00,0.052
340.00,0.053
341.00,0.053
342.00,0.053
343.00,0.053
344.00,0.053
345.00,0.053
346.00,0.055
347.00,0.055
348.00,0.055
349.00,0.055
350.00,0.055
351.00,0.055
352.00,0.054
353.00,0.054
354.00,0.054
355.00,0.054
356.00,0.055
357.00,0.057
358.00,0.060
359.00,0.062
360.00,0.059
361.00,0.060
362.00,0.060
363.00,0.065
364.00,0.068
365.00,0.064
366.00,0.060
367.00,0.058
368.00,0.061
369.00,0.064
370.00,0.064
371.00,0.068
372.00,0.069
373.00,0.065
374.00,0.066
375.00,0.066
376.00,0.067
377.00,0.066
378.00,0.061
379.00,0.062
380.00,0.066
381.00,0.067
382.00,0.070
383.00,0.073
384.00,0.073
385.00,0.072
386.00,0.072
387.00,0.074
388.00,0.076
389.00,0.075
390.00,0.076
391.00,0.078
392.00,0.077
393.00,0.079
394.00,0.079
395.00,0.078
396.00,0.080
397.00,0.080
398.00,0.080
399.00,0.081
400.00,0.083
401.00,0.084
402.00,0.083
403.00,0.085
404.00,0.089
405.00,0.089
406.00,0.089
407.00,0.091
408.00,0.091
409.00,0.090
410.00,0.091
411.00,0.092
412.00,0.092
413.00,0.093
414.00,0.095
415.00,0.096
416.00,0.095
417.00,0.096
418.00,0.098
419.00,0.099
420.00,0.099
421.00,0.100
422.00,0.101
423.00,0.103
424.00,0.104
425.00,0.105
426.00,0.107
427.00,0.107
428.00,0.109
429.00,0.110
430.00,0.109
431.00,0.108
432.00,0.111
433.00,0.112
434.00,0.113
435.00,0.114
436.00,0.115
437.00,0.116
438.00,0.116
439.00,0.117
440.00,0.119
441.00,0.119
442.00,0.120
