20230424_F4_PCT-C3-SO3Na 2 mgml_H2SO4 0p05 N - RawData
Wavelength nm.,Abs.
200.00,0.684
201.00,0.688
202.00,0.697
203.00,0.692
204.00,0.677
205.00,0.666
206.00,0.662
207.00,0.651
208.00,0.633
209.00,0.608
210.00,0.584
211.00,0.557
212.00,0.522
213.00,0.489
214.00,0.461
215.00,0.434
216.00,0.402
217.00,0.375
218.00,0.349
219.00,0.323
220.00,0.304
221.00,0.285
222.00,0.269
223.00,0.255
224.00,0.243
225.00,0.234
226.00,0.227
227.00,0.221
228.00,0.213
229.00,0.208
230.00,0.202
231.00,0.197
232.00,0.192
233.00,0.186
234.00,0.182
235.00,0.177
236.00,0.174
237.00,0.169
238.00,0.164
239.00,0.160
240.00,0.155
241.00,0.150
242.00,0.147
243.00,0.145
244.00,0.142
245.00,0.140
246.00,0.137
247.00,0.136
248.00,0.135
249.00,0.132
250.00,0.130
251.00,0.131
252.00,0.131
253.00,0.130
254.00,0.128
255.00,0.128
256.00,0.127
257.00,0.126
258.00,0.125
259.00,0.124
260.00,0.124
261.00,0.124
262.00,0.124
263.00,0.123
264.00,0.121
265.00,0.121
266.00,0.121
267.00,0.120
268.00,0.119
269.00,0.119
270.00,0.118
271.00,0.118
272.00,0.118
273.00,0.117
274.00,0.117
275.00,0.116
276.00,0.115
277.00,0.114
278.00,0.113
279.00,0.113
280.00,0.112
281.00,0.110
282.00,0.108
283.00,0.105
284.00,0.103
285.00,0.101
286.00,0.101
287.00,0.100
288.00,0.098
289.00,0.096
290.00,0.094
291.00,0.092
292.00,0.091
293.00,0.089
294.00,0.087
295.00,0.086
296.00,0.084
297.00,0.083
298.00,0.081
299.00,0.080
300.00,0.079
301.00,0.077
302.00,0.075
303.00,0.074
304.00,0.074
305.00,0.073
306.00,0.071
307.00,0.070
308.00,0.069
309.00,0.068
310.00,0.067
311.00,0.066
312.00,0.065
313.00,0.064
314.00,0.064
315.00,0.063
316.00,0.063
317.00,0.063
318.00,0.061
319.00,0.059
320.00,0.060
321.00,0.061
322.00,0.060
323.00,0.059
324.00,0.057
325.00,0.059
326.00,0.059
327.00,0.058
328.00,0.059
329.00,0.060
330.00,0.060
331.00,0.059
332.00,0.058
333.00,0.058
334.00,0.058
335.00,0.058
336.00,0.057
337.00,0.057
338.00,0.057
339.00,0.057
340.00,0.058
341.00,0.057
342.00,0.057
343.00,0.060
344.00,0.059
345.00,0.059
346.00,0.059
347.00,0.059
348.00,0.060
349.00,0.060
350.00,0.060
351.00,0.058
352.00,0.058
353.00,0.059
354.00,0.058
355.00,0.058
356.00,0.060
357.00,0.061
358.00,0.066
359.00,0.070
360.00,0.069
361.00,0.066
362.00,0.065
363.00,0.071
364.00,0.071
365.00,0.067
366.00,0.065
367.00,0.063
368.00,0.067
369.00,0.067
370.00,0.066
371.00,0.071
372.00,0.070
373.00,0.066
374.00,0.067
375.00,0.072
376.00,0.076
377.00,0.075
378.00,0.070
379.00,0.071
380.00,0.073
381.00,0.072
382.00,0.072
383.00,0.075
384.00,0.075
385.00,0.075
386.00,0.075
387.00,0.075
388.00,0.076
389.00,0.076
390.00,0.077
391.00,0.079
392.00,0.082
393.00,0.081
394.00,0.081
395.00,0.082
396.00,0.082
397.00,0.082
398.00,0.084
399.00,0.085
400.00,0.087
401.00,0.088
